libcell, Min_delay,Average_delay,Max_delay
PREICG_X16N_A9PP84TL_C14,0.013,0.00859,0.036
AOI22BB_X1N_A9PP84TL_C14,0.018,0.02,0.022
MXT2_X2N_A9PP84TR_C14,0.031,0.031,0.031
PREICG_X16N_A9PP84TL_C16,0.018,0.0302,0.033
MXT2_X2N_A9PP84TR_C16,0.025,0.0255,0.026
INV_X12N_A9PP84TR_C14,0.005,0.00688,0.009
INV_X12N_A9PP84TR_C16,0.005,0.00692,0.007
XOR2_X2N_A9PP84TSL_C14,0.021,0.021,0.021
INV_X5N_A9PP84TL_C14,0.006,0.006,0.006
AOI22_X6R_A9PP84TSL_C14,0.010,0.0107,0.012
INV_X5N_A9PP84TL_C16,0.006,0.0116,0.032
INV_X6N_A9PP84TSL_C14,0.005,0.00997,0.036
BUF_X20N_A9PP84TL_C14,0.027,0.027,0.027
SDFFRPQH_X1N_A9PP84TL_C14,0.046,0.0465,0.047
NAND2_X1N_A9PP84TSL_C14,0.009,0.0166,0.090
INV_X6N_A9PP84TSL_C16,0.005,0.007,0.008
NAND2_X1N_A9PP84TSL_C16,0.024,0.0245,0.025
OAI211_X4N_A9PP84TL_C14,0.017,0.017,0.017
SDFFRPQH_X1N_A9PP84TL_C16,0.040,0.04,0.040
OAI211_X4N_A9PP84TL_C16,0.016,0.016,0.016
AOI211_X1P5N_A9PP84TL_C14,0.019,0.019,0.019
NOR2_X6R_A9PP84TSL_C14,0.014,0.014,0.014
OAI211_X1P5N_A9PP84TSL_C14,0.010,0.0158,0.022
INV_X1P5F_A9PP84TSL_C14,0.006,0.0142,0.061
INV_X1P5F_A9PP84TSL_C16,0.006,0.006,0.006
INV_X5R_A9PP84TSL_C14,0.007,0.00971,0.046
BUF_X14N_A9PP84TL_C14,0.014,0.014,0.014
INV_X5R_A9PP84TSL_C16,0.014,0.014,0.014
INV_X8F_A9PP84TR_C14,0.005,0.0058,0.007
NAND4_X4N_A9PP84TL_C16,0.022,0.022,0.022
BUF_X14N_A9PP84TL_C16,0.017,0.0174,0.019
AOI22_X6R_A9PP84TR_C14,0.013,0.0154,0.016
INV_X8F_A9PP84TR_C16,0.010,0.01,0.010
XOR2_X2TN_A9PP84TR_C14,0.010,0.0129,0.020
INV_X3F_A9PP84TR_C14,0.014,0.014,0.014
SDFFSQ_X2N_A9PP84TR_C14,0.041,0.0405,0.042
INVP_X1R_A9PP84TR_C14,0.033,0.0339,0.034
AOI22_X1R_A9PP84TR_C14,0.025,0.0265,0.028
INV_X3F_A9PP84TR_C16,0.012,0.0155,0.019
SDFFSQ_X2N_A9PP84TR_C16,0.070,0.07,0.070
AOI21_X6N_A9PP84TL_C14,0.028,0.029,0.030
INVP_X1R_A9PP84TR_C16,0.012,0.0362,0.125
AOI22_X1R_A9PP84TR_C16,0.014,0.0332,0.047
NOR4_X2F_A9PP84TR_C14,0.021,0.021,0.021
NOR2XB_X1N_A9PP84TR_C16,0.040,0.04,0.040
SDFFXRPQ_X3N_A9PP84TSL_C14,0.015,0.0135,0.015
OAI22_X4R_A9PP84TR_C16,0.017,0.017,0.017
AO211_X1N_A9PP84TR_C16,0.031,0.031,0.031
NAND3BB_X2N_A9PP84TSL_C14,0.012,0.0167,0.026
BUF_X2N_A9PP84TL_C16,0.067,0.067,0.067
INV_X7N_A9PP84TR_C14,0.005,0.0065,0.011
INV_X7N_A9PP84TR_C16,0.006,0.0365,0.043
SDFFRPQ_X4N_A9PP84TSL_C14,0.011,0.0107,0.011
AOI21_X1N_A9PP84TL_C14,0.022,0.022,0.022
AOI21_X1N_A9PP84TL_C16,0.025,0.0293,0.034
DLY4_X4N_A9PP84TR_C16,0.048,0.0846,0.112
SDFFRPQH_X3N_A9PP84TR_C16,0.046,0.049,0.052
OAI21_X3N_A9PP84TSL_C14,0.012,0.012,0.012
INV_X2N_A9PP84TR_C14,0.008,0.0292,0.042
INV_X2N_A9PP84TR_C16,0.009,0.0218,0.034
BUF_X7N_A9PP84TSL_C14,0.013,0.0102,0.025
NOR3XXB_X2N_A9PP84TSL_C14,0.015,0.015,0.015
INV_X10F_A9PP84TSL_C14,0.005,0.00648,0.016
BUF_X16N_A9PP84TR_C14,0.011,0.0142,0.017
NOR4_X1N_A9PP84TR_C16,0.030,0.0385,0.050
BUF_X16N_A9PP84TR_C16,0.011,0.018,0.024
OAI211_X1N_A9PP84TR_C16,0.019,0.0429,0.064
delay100x1,0.111,0.132,0.205
SDFFQ_X2N_A9PP84TL_C16,0.031,0.031,0.031
NAND2_X2R_A9PP84TL_C14,0.008,0.008,0.008
NOR2B_X1N_A9PP84TR_C14,0.024,0.025,0.046
INV_X20N_A9PP84TSL_C14,0.005,0.01,0.014
NAND2_X2R_A9PP84TL_C16,0.011,0.011,0.011
NOR2B_X1N_A9PP84TR_C16,0.006,0.0269,0.044
INV_X1P5N_A9PP84TL_C16,0.021,0.0642,0.093
NAND4_X1N_A9PP84TR_C16,0.031,0.0393,0.049
SDFFXSQ_X3N_A9PP84TSL_C16,0.027,0.0272,0.030
