libcell, Min_delay,Average_delay,Max_delay
INV_X5F_A9PP84TSL_C14,0.006,0.0112,0.015
INV_X5F_A9PP84TSL_C16,0.006,0.00633,0.007
INV_X5N_A9PP84TR_C14,0.006,0.0336,0.045
AND4_X1N_A9PP84TR_C16,0.023,0.0233,0.024
INV_X5N_A9PP84TR_C16,0.005,0.00836,0.010
AOI22_X4N_A9PP84TSL_C14,0.012,0.012,0.012
DLY4_X2N_A9PP84TR_C16,0.041,0.0503,0.136
BUF_X20N_A9PP84TR_C16,0.012,0.012,0.012
OAI211_X4N_A9PP84TR_C14,0.012,0.0147,0.020
SDFFRPQH_X1N_A9PP84TR_C16,0.074,0.0743,0.075
OA21_X2N_A9PP84TSL_C14,0.019,0.0174,0.019
AOI22_X3R_A9PP84TSL_C14,0.012,0.0135,0.016
NOR2_X4N_A9PP84TSL_C14,0.007,0.01,0.013
BUF_X14N_A9PP84TR_C14,0.012,0.012,0.012
BUF_X14N_A9PP84TR_C16,0.017,0.017,0.017
NAND2_X8R_A9PP84TSL_C14,0.007,0.00891,0.016
NAND2_X8TN_A9PP84TSL_C14,0.008,0.0111,0.014
INV_X3N_A9PP84TSL_C14,0.006,0.0182,0.052
BUFH_X6N_A9PP84TL_C14,0.009,0.0135,0.018
INV_X12R_A9PP84TL_C14,0.004,0.004,0.004
INV_X3N_A9PP84TSL_C16,0.006,0.006,0.006
OR3_X1N_A9PP84TL_C16,0.014,0.014,0.014
AOI2XB1_X1N_A9PP84TR_C16,0.046,0.046,0.046
SDFFXRPQ_X3N_A9PP84TL_C14,0.025,0.0667,0.089
BUF_X7N_A9PP84TR_C14,0.014,0.0167,0.020
SDFFRPQ_X4N_A9PP84TL_C14,0.033,0.033,0.033
SDFFXRPQ_X3N_A9PP84TL_C16,0.024,0.047,0.093
NOR2_X3R_A9PP84TSL_C14,0.010,0.0105,0.011
BUF_X7N_A9PP84TR_C16,0.014,0.0158,0.018
INV_X2R_A9PP84TSL_C14,0.005,0.0084,0.012
BUFH_X1N_A9PP84TL_C14,0.008,0.0133,0.022
AOI22_X2N_A9PP84TL_C14,0.014,0.0147,0.015
AOI21_X6N_A9PP84TR_C14,0.010,0.0328,0.041
OR2_X2N_A9PP84TSL_C14,0.012,0.0257,0.027
BUFH_X1N_A9PP84TL_C16,0.008,0.0103,0.022
AOI21_X6N_A9PP84TR_C16,0.018,0.031,0.044
BUF_X2N_A9PP84TR_C14,0.018,0.018,0.018
BUF_X2N_A9PP84TR_C16,0.012,0.0247,0.050
AO21A1AI2_X3N_A9PP84TSL_C14,0.012,0.012,0.012
AOI21_X1N_A9PP84TR_C14,0.033,0.0353,0.037
AOI21_X1N_A9PP84TR_C16,0.006,0.0251,0.048
OAI21_X4N_A9PP84TR_C14,0.011,0.0113,0.012
INV_X20R_A9PP84TR_C16,0.009,0.014,0.024
PREICG_X5R_A9PP84TL_C14,0.031,0.035,0.039
MXT2_X6N_A9PP84TSL_C14,0.013,0.0155,0.022
NAND3_X3R_A9PP84TL_C16,0.020,0.02,0.020
PREICG_X5R_A9PP84TL_C16,0.025,0.025,0.025
MXT2_X6N_A9PP84TSL_C16,0.016,0.0163,0.017
NOR2_X2R_A9PP84TR_C16,0.011,0.011,0.011
BUFH_X8N_A9PP84TR_C14,0.010,0.0116,0.024
SDFFRPQ_X1N_A9PP84TSL_C16,0.027,0.0383,0.048
INV_X14R_A9PP84TR_C14,0.004,0.00937,0.013
XOR2_X4N_A9PP84TR_C14,0.012,0.0139,0.018
BUFH_X8N_A9PP84TR_C16,0.015,0.0168,0.017
XOR2_X4N_A9PP84TR_C16,0.014,0.014,0.014
NAND2_X2R_A9PP84TR_C14,0.019,0.019,0.019
INV_X5N_DCAP8_A9PP84TL_C14,0.004,0.00107,0.058
INV_X28N_A9PP84TSL_C14,0.008,0.008,0.008
INV_X1P5N_A9PP84TR_C16,0.011,0.032,0.081
BUF_X4N_A9PP84TSL_C14,0.008,0.00527,0.045
BUF_X4N_A9PP84TSL_C16,0.014,0.0198,0.028
INV_X12N_DCAP16_A9PP84TL_C14,0.003,0.00023,0.031
BUFH_X3N_A9PP84TR_C14,0.018,0.0285,0.039
AOI22_X4N_A9PP84TR_C14,0.010,0.0138,0.016
BUFH_X3N_A9PP84TR_C16,0.035,0.038,0.041
MX2_X8N_A9PP84TSL_C14,0.010,0.0172,0.022
INV_X2R_A9PP84TL_C14,0.009,0.0195,0.030
AO21A1AI2_X3N_A9PP84TL_C14,0.016,0.016,0.016
SDFFRPQ_X1N_A9PP84TR_C14,0.040,0.0565,0.113
INV_X2R_A9PP84TL_C16,0.009,0.0234,0.036
INV_X16N_A9PP84TSL_C14,0.005,0.0066,0.010
SDFFRPQ_X1N_A9PP84TR_C16,0.028,0.0591,0.113
AO1B2_X1N_A9PP84TSL_C14,0.023,0.023,0.023
INV_X16N_A9PP84TSL_C16,0.004,0.004,0.004
AOI22_X1F_A9PP84TSL_C14,0.012,0.0169,0.024
INVP_X1F_A9PP84TSL_C14,0.009,0.0103,0.014
OAI211_X2N_A9PP84TSL_C14,0.012,0.0162,0.020
NOR2_X1P5N_A9PP84TSL_C14,0.008,0.008,0.008
AO1B2_X1N_A9PP84TSL_C16,0.026,0.026,0.026
NOR3_X6N_A9PP84TSL_C14,0.014,0.0105,0.014
NOR2_X1F_A9PP84TL_C16,0.038,0.038,0.038
AOI211_X4N_A9PP84TSL_C14,0.010,0.0143,0.021
NAND2_X6F_A9PP84TSL_C14,0.016,0.017,0.018
NAND2_X6F_A9PP84TSL_C16,0.010,0.01,0.010
AND2_X2N_A9PP84TL_C14,0.014,0.016,0.018
AND2_X2N_A9PP84TL_C16,0.016,0.016,0.016
NAND2_X1F_A9PP84TL_C14,0.023,0.028,0.031
NOR2_X1F_A9PP84TSL_C14,0.006,0.0111,0.025
DFFRPQ_X4N_A9PP84TL_C14,0.058,0.058,0.058
DFFRPQ_X4N_A9PP84TL_C16,0.063,0.063,0.063
AOI31_X1N_A9PP84TSL_C14,0.024,0.0255,0.027
NOR2_X3TN_A9PP84TSL_C14,0.006,0.00754,0.009
NOR2_X3TN_A9PP84TSL_C16,0.012,0.012,0.012
AOI21_X1P5N_A9PP84TSL_C16,0.019,0.019,0.019
AO22_X2N_A9PP84TSL_C14,0.013,0.0191,0.037
NAND2_X4N_A9PP84TSL_C14,0.014,0.014,0.014
MXT2_X2N_A9PP84TL_C14,0.023,0.0259,0.028
MXT2_X2N_A9PP84TL_C16,0.027,0.0297,0.034
INV_X4R_A9PP84TR_C14,0.009,0.009,0.009
OA21A1OI2_X1N_A9PP84TSL_C14,0.017,0.017,0.017
INV_X8R_A9PP84TSL_C14,0.005,0.00941,0.018
INV_X4R_A9PP84TR_C16,0.010,0.01,0.010
NAND2_X3R_A9PP84TSL_C14,0.007,0.00918,0.012
AO21_X2N_A9PP84TL_C14,0.010,0.01,0.010
NAND2_X3R_A9PP84TSL_C16,0.010,0.01,0.010
AOI21_X3N_A9PP84TSL_C14,0.010,0.0189,0.050
BUFH_X14N_A9PP84TR_C14,0.009,0.0121,0.015
BUFH_X14N_A9PP84TR_C16,0.020,0.02,0.020
OAI22_X2N_A9PP84TSL_C14,0.013,0.0147,0.016
NAND2_X3F_A9PP84TR_C14,0.015,0.015,0.015
OA22_X1N_A9PP84TR_C16,0.024,0.0317,0.044
INV_X8F_A9PP84TL_C14,0.006,0.006,0.006
AOI211_X1N_A9PP84TR_C16,0.007,0.036,0.046
NOR2B_X2N_A9PP84TSL_C14,0.018,0.0222,0.027
OA21B_X1N_A9PP84TSL_C14,0.027,0.027,0.027
AND2_X2N_A9PP84TSL_C14,0.014,0.0167,0.031
INV_X10F_A9PP84TR_C14,0.006,0.00822,0.016
AND2_X2N_A9PP84TSL_C16,0.016,0.016,0.016
PREICG_X5N_A9PP84TL_C14,0.024,0.0416,0.052
PREICG_X5N_A9PP84TL_C16,0.043,0.0472,0.048
INV_X3F_A9PP84TL_C16,0.010,0.015,0.020
AOI22_X1R_A9PP84TL_C14,0.020,0.0243,0.027
INV_X1P5R_A9PP84TSL_C14,0.005,0.00567,0.006
DFFRPQ_X1N_A9PP84TR_C14,0.036,0.036,0.036
BUFH_X12N_A9PP84TSL_C14,0.011,0.013,0.017
DFFRPQ_X1N_A9PP84TR_C16,0.033,0.0583,0.109
AOI22_X1R_A9PP84TL_C16,0.022,0.022,0.022
MXT2_X4N_A9PP84TR_C14,0.023,0.0256,0.031
OAI21_X6N_A9PP84TSL_C14,0.008,0.0172,0.017
BUF_X24N_A9PP84TSL_C14,0.011,0.017,0.021
NOR2XB_X1N_A9PP84TL_C16,0.030,0.03,0.030
MXT2_X1N_A9PP84TSL_C14,0.018,0.029,0.043
MXT2_X4N_A9PP84TR_C16,0.018,0.0237,0.027
MXT2_X1N_A9PP84TSL_C16,0.024,0.0268,0.032
INV_X14N_A9PP84TR_C16,0.005,0.005,0.005
NAND4_X2N_A9PP84TSL_C14,0.013,0.0169,0.017
INV_X7N_A9PP84TL_C14,0.005,0.00633,0.007
NAND2_X2N_A9PP84TR_C16,0.018,0.069,0.120
INV_X7N_A9PP84TL_C16,0.007,0.007,0.007
SDFFXSQ_X4N_A9PP84TL_C14,0.065,0.065,0.065
BUF_X12N_A9PP84TSL_C14,0.027,0.027,0.027
SDFFXSQ_X4N_A9PP84TL_C16,0.043,0.0483,0.053
NAND4_X1R_A9PP84TSL_C14,0.012,0.013,0.014
INV_X2N_A9PP84TL_C14,0.009,0.0107,0.013
INV_X2N_A9PP84TL_C16,0.008,0.016,0.054
NAND3_X6N_A9PP84TSL_C14,0.020,0.02,0.020
OAI211_X1N_A9PP84TL_C14,0.025,0.0265,0.028
NAND3_X6N_A9PP84TSL_C16,0.014,0.014,0.014
OAI211_X1N_A9PP84TL_C16,0.021,0.0243,0.028
NOR2B_X1N_A9PP84TL_C14,0.019,0.0201,0.023
BUFH_X4N_A9PP84TSL_C14,0.008,0.00213,0.022
NOR2B_X1N_A9PP84TL_C16,0.034,0.0343,0.035
BUFH_X4N_A9PP84TSL_C16,0.009,0.009,0.009
INV_X6F_A9PP84TSL_C14,0.005,0.0101,0.016
NAND4_X1N_A9PP84TL_C14,0.029,0.029,0.029
NOR3_X1N_A9PP84TSL_C14,0.008,0.0398,0.061
NAND2_X1F_A9PP84TSL_C14,0.010,0.0133,0.018
NAND4_X1N_A9PP84TL_C16,0.026,0.0275,0.029
INV_X5F_A9PP84TR_C14,0.007,0.00933,0.014
MX2_X2N_A9PP84TR_C16,0.028,0.033,0.038
AOI22_X3R_A9PP84TR_C14,0.011,0.0152,0.018
INV_X5F_A9PP84TR_C16,0.024,0.0334,0.034
XNOR2_X1N_A9PP84TSL_C14,0.009,0.0205,0.025
OR2_X2N_A9PP84TL_C14,0.016,0.00592,0.030
NOR4_X4F_A9PP84TR_C14,0.028,0.028,0.028
INV_X10R_A9PP84TSL_C14,0.005,0.00709,0.015
XNOR2_X1N_A9PP84TSL_C16,0.022,0.0235,0.025
INV_X10R_A9PP84TSL_C16,0.006,0.006,0.006
BUF_X4N_A9PP84TL_C14,0.012,0.0217,0.062
OAI22_X1R_A9PP84TR_C14,0.028,0.028,0.028
AOI22_X4R_A9PP84TSL_C14,0.011,0.0118,0.013
BUF_X24N_A9PP84TR_C14,0.017,0.017,0.017
OAI22_X1R_A9PP84TR_C16,0.008,0.0163,0.032
BUF_X24N_A9PP84TR_C16,0.018,0.018,0.018
INV_X4N_A9PP84TSL_C14,0.005,0.01,0.042
NAND2_X1P5N_A9PP84TSL_C14,0.018,0.018,0.018
INV_X4N_A9PP84TSL_C16,0.005,0.0065,0.008
INV_X4N_A9PP84TR_C14,0.006,0.00965,0.017
INV_X4N_A9PP84TR_C16,0.009,0.0426,0.046
DFFRPQ_X4N_A9PP84TSL_C14,0.033,0.0175,0.059
NOR2_X4R_A9PP84TSL_C14,0.006,0.007,0.008
OAI21_X1N_A9PP84TL_C14,0.019,0.019,0.019
DLY4_X1N_A9PP84TR_C16,0.037,0.0588,0.156
SDFFXSQ_X1N_A9PP84TR_C14,0.036,0.036,0.036
AO1B2_X2N_A9PP84TL_C14,0.023,0.023,0.023
INV_X3R_A9PP84TSL_C14,0.006,0.00914,0.033
INV_X3R_A9PP84TSL_C16,0.024,0.024,0.024
AO1B2_X2N_A9PP84TL_C16,0.022,0.022,0.022
NAND2_X4R_A9PP84TL_C16,0.014,0.014,0.014
AO21_X1N_A9PP84TSL_C14,0.027,0.028,0.029
AO21A1AI2_X4N_A9PP84TSL_C14,0.010,0.01,0.010
AO21_X1N_A9PP84TSL_C16,0.031,0.031,0.031
BUFH_X5N_A9PP84TL_C14,0.009,0.0134,0.017
XOR2_X1N_A9PP84TL_C14,0.024,0.0275,0.031
XOR2_X1N_A9PP84TL_C16,0.005,0.012,0.019
SDFFXRPQ_X2N_A9PP84TL_C14,0.046,0.047,0.048
NOR2_X8TN_A9PP84TSL_C14,0.011,0.0159,0.030
BUF_X6N_A9PP84TR_C14,0.013,0.0183,0.027
SDFFRPQ_X3N_A9PP84TL_C14,0.035,0.0355,0.036
SDFFXRPQ_X2N_A9PP84TL_C16,0.025,0.0305,0.040
SDFFRPQ_X3N_A9PP84TL_C16,0.038,0.038,0.038
SDFFXRPQ_X1N_A9PP84TSL_C16,0.046,0.046,0.046
sdffq_x1_hd_9t_rvt,0.027,0.0342,0.055
INVP_X1N_A9PP84TL_C14,0.022,0.0227,0.048
AOI22_X1N_A9PP84TL_C14,0.018,0.0193,0.023
OAI22_X4N_A9PP84TL_C14,0.013,0.013,0.013
INV_X20F_A9PP84TSL_C14,0.011,0.0102,0.013
SDFFRPQ_X2N_A9PP84TSL_C14,0.020,0.02,0.020
BUF_X1N_A9PP84TR_C14,0.013,0.017,0.021
SDFFRPQ_X2N_A9PP84TSL_C16,0.030,0.032,0.036
BUF_X1N_A9PP84TR_C16,0.010,0.0201,0.047
XNOR2_X1TN_A9PP84TSL_C14,0.015,0.0155,0.017
NOR4_X3N_A9PP84TSL_C14,0.019,0.0174,0.019
INV_X1P5F_A9PP84TR_C16,0.013,0.023,0.046
OAI21_X3N_A9PP84TR_C14,0.011,0.012,0.013
AOI22_X4F_A9PP84TR_C14,0.014,0.0146,0.015
PREICG_X4R_A9PP84TL_C14,0.009,0.0307,0.067
NAND2_X6R_A9PP84TR_C14,0.007,0.00776,0.009
NOR2_X1R_A9PP84TR_C14,0.012,0.012,0.012
PREICG_X4R_A9PP84TL_C16,0.026,0.034,0.036
NAND2_X6R_A9PP84TR_C16,0.014,0.014,0.014
INV_X28R_A9PP84TSL_C14,0.010,0.012,0.014
NOR2_X1R_A9PP84TR_C16,0.007,0.0238,0.082
OR4_X1N_A9PP84TSL_C14,0.023,0.023,0.023
BUFH_X7N_A9PP84TR_C14,0.010,0.0116,0.016
AO1B2_X2N_A9PP84TSL_C14,0.012,0.0161,0.025
AOI22_X2F_A9PP84TSL_C14,0.013,0.0167,0.024
OAI211_X3N_A9PP84TSL_C14,0.017,0.017,0.017
BUFH_X7N_A9PP84TR_C16,0.010,0.0136,0.022
XOR2_X3N_A9PP84TR_C14,0.015,0.015,0.015
AO1B2_X2N_A9PP84TSL_C16,0.016,0.016,0.016
XOR2_X3N_A9PP84TR_C16,0.018,0.0195,0.021
INV_X6R_A9PP84TL_C14,0.007,0.007,0.007
NAND2_X1R_A9PP84TR_C16,0.008,0.0178,0.026
SDFFXRPQ_X4N_A9PP84TR_C14,0.034,0.034,0.034
NAND3_X1N_A9PP84TSL_C14,0.015,0.0654,0.081
INV_X6R_A9PP84TL_C16,0.005,0.005,0.005
INV_X16R_A9PP84TSL_C14,0.005,0.00727,0.014
BUFH_X2N_A9PP84TR_C14,0.017,0.017,0.017
AOI22_X3N_A9PP84TR_C14,0.014,0.0146,0.015
NOR2_X2F_A9PP84TSL_C14,0.005,0.0129,0.023
BUFH_X2N_A9PP84TR_C16,0.013,0.0471,0.074
AOI31_X2N_A9PP84TSL_C14,0.015,0.0155,0.016
AO21A1AI2_X2N_A9PP84TL_C16,0.017,0.017,0.017
AND2_X1N_A9PP84TL_C14,0.023,0.023,0.023
AND2_X1N_A9PP84TL_C16,0.029,0.029,0.029
NAND3_X4R_A9PP84TR_C14,0.013,0.0168,0.021
NOR3BB_X1N_A9PP84TSL_C14,0.017,0.0186,0.025
NAND3_X4R_A9PP84TR_C16,0.027,0.027,0.027
NAND2_X4R_A9PP84TSL_C14,0.005,0.0115,0.017
MXT2_X6N_A9PP84TL_C14,0.016,0.0175,0.019
AOI21_X4N_A9PP84TSL_C14,0.012,0.0193,0.042
INV_X8R_A9PP84TR_C14,0.016,0.016,0.016
INV_X8R_A9PP84TR_C16,0.008,0.0085,0.009
NAND2_X4N_A9PP84TL_C16,0.013,0.0133,0.014
MXT2_X1N_A9PP84TL_C14,0.033,0.033,0.033
MXT2_X1N_A9PP84TL_C16,0.020,0.0294,0.035
INV_X3R_A9PP84TR_C14,0.012,0.0165,0.021
INV_X3R_A9PP84TR_C16,0.007,0.017,0.029
AO21A1AI2_X4N_A9PP84TR_C16,0.023,0.023,0.023
INV_X20F_A9PP84TR_C16,0.006,0.0083,0.025
AOI22_X1P5R_A9PP84TSL_C14,0.014,0.0155,0.017
NOR4BB_X1N_A9PP84TSL_C14,0.029,0.029,0.029
INV_X14F_A9PP84TR_C14,0.005,0.00662,0.012
MXT2_X2N_A9PP84TSL_C14,0.023,0.0298,0.031
INV_X14F_A9PP84TR_C16,0.005,0.0055,0.006
MXT2_X2N_A9PP84TSL_C16,0.024,0.024,0.024
NAND4_X2R_A9PP84TR_C16,0.019,0.019,0.019
MX2_X4N_A9PP84TL_C14,0.014,0.014,0.014
NAND4_X3N_A9PP84TSL_C14,0.012,0.0158,0.019
INV_X14F_A9PP84TSL_C14,0.006,0.00838,0.015
DLY2_X4N_A9PP84TR_C16,0.023,0.0272,0.040
NOR3_X4F_A9PP84TSL_C14,0.011,0.0185,0.026
INV_X24N_A9PP84TSL_C14,0.009,0.0105,0.012
PREICG_X4N_A9PP84TL_C14,0.017,0.0182,0.066
NAND4_X2R_A9PP84TSL_C14,0.009,0.0153,0.019
NAND2_X6N_A9PP84TR_C14,0.018,0.018,0.018
PREICG_X4N_A9PP84TL_C16,0.024,0.0304,0.052
AOI31_X3N_A9PP84TR_C16,0.021,0.021,0.021
INV_X2F_A9PP84TL_C16,0.008,0.0117,0.014
OA211_X2N_A9PP84TSL_C14,0.023,0.023,0.023
OA21A1OI2_X3N_A9PP84TR_C16,0.021,0.021,0.021
MXT2_X3N_A9PP84TR_C14,0.020,0.025,0.030
MXT2_X3N_A9PP84TR_C16,0.024,0.0335,0.043
MX2_X4N_A9PP84TSL_C14,0.020,0.0205,0.021
NAND2_X1N_A9PP84TR_C14,0.030,0.03,0.030
INV_X6N_A9PP84TL_C14,0.005,0.01,0.011
INV_X12N_A9PP84TSL_C14,0.008,0.0106,0.016
NAND2_X1N_A9PP84TR_C16,0.029,0.0344,0.042
NOR2_X8F_A9PP84TSL_C14,0.009,0.0095,0.010
INV_X12N_A9PP84TSL_C16,0.005,0.005,0.005
PREICG_X12N_A9PP84TL_C14,0.022,0.022,0.022
BUFH_X5N_A9PP84TSL_C14,0.008,0.0122,0.018
OAI31_X1N_A9PP84TR_C16,0.025,0.029,0.037
INV_X7F_A9PP84TSL_C14,0.006,0.0104,0.016
NOR3_X2N_A9PP84TSL_C14,0.007,0.00868,0.011
SDFFRPQH_X2N_A9PP84TL_C14,0.039,0.039,0.039
NAND2_X2F_A9PP84TSL_C14,0.009,0.0123,0.017
NAND3_X6R_A9PP84TSL_C14,0.013,0.016,0.019
SDFFRPQH_X2N_A9PP84TL_C16,0.040,0.04,0.040
AO21B_X1N_A9PP84TR_C16,0.025,0.025,0.025
AOI22_X6N_A9PP84TSL_C14,0.009,0.0123,0.016
MX2_X6N_A9PP84TR_C14,0.015,0.0183,0.020
XOR2_X1N_A9PP84TSL_C14,0.006,0.0152,0.020
NOR2_X6N_A9PP84TSL_C14,0.011,0.011,0.011
INV_X5N_A9PP84TSL_C14,0.005,0.00975,0.018
BUF_X10N_A9PP84TL_C14,0.009,0.009,0.009
INV_X4F_A9PP84TR_C14,0.008,0.0112,0.014
OAI2XB1_X1N_A9PP84TR_C16,0.035,0.035,0.035
AOI22_X2R_A9PP84TR_C14,0.017,0.017,0.017
NOR2XB_X2N_A9PP84TR_C14,0.032,0.032,0.032
NOR2XB_X2N_A9PP84TR_C16,0.021,0.028,0.033
BUF_X28N_A9PP84TR_C14,0.014,0.014,0.014
MXIT2_X1N_A9PP84TR_C16,0.019,0.019,0.019
OAI21B_X1N_A9PP84TR_C16,0.013,0.013,0.013
INV_X4R_A9PP84TSL_C14,0.005,0.00953,0.015
NAND2_X1P5R_A9PP84TSL_C14,0.009,0.009,0.009
NAND2_X1P5R_A9PP84TSL_C16,0.013,0.013,0.013
INV_X4R_A9PP84TSL_C16,0.010,0.018,0.026
INV_X8N_A9PP84TR_C14,0.005,0.0065,0.011
AO22_X1N_A9PP84TR_C16,0.013,0.0257,0.031
INV_X8N_A9PP84TR_C16,0.005,0.005,0.005
XOR2_X1TN_A9PP84TR_C14,0.015,0.0155,0.016
AO21_X2N_A9PP84TSL_C14,0.017,0.02,0.023
SDFFRPQH_X4N_A9PP84TR_C14,0.040,0.0429,0.045
SDFFRPQH_X4N_A9PP84TR_C16,0.045,0.0478,0.055
INV_X3N_A9PP84TR_C14,0.006,0.0121,0.032
NAND2_X8R_A9PP84TL_C14,0.011,0.0114,0.012
INV_X3N_A9PP84TR_C16,0.008,0.0158,0.036
SDFFXRPQ_X2N_A9PP84TSL_C14,0.020,0.0208,0.045
SDFFXRPQ_X2N_A9PP84TSL_C16,0.026,0.0315,0.048
BUF_X32N_A9PP84TSL_C14,0.014,0.0168,0.020
AOI22_X1F_A9PP84TL_C14,0.018,0.0205,0.023
AO1B2_X1N_A9PP84TL_C16,0.024,0.024,0.024
BUF_X12N_A9PP84TR_C14,0.015,0.0177,0.020
SDFFRPQ_X3N_A9PP84TSL_C16,0.033,0.033,0.033
BUF_X12N_A9PP84TR_C16,0.013,0.015,0.017
BUFH_X4N_A9PP84TL_C14,0.010,0.0159,0.018
OAI21_X2N_A9PP84TSL_C14,0.012,0.0144,0.019
XNOR2_X1N_A9PP84TL_C14,0.026,0.026,0.026
BUF_X20N_A9PP84TSL_C14,0.013,0.0161,0.018
NAND3_X1P5R_A9PP84TSL_C16,0.023,0.023,0.023
INV_X10R_A9PP84TL_C16,0.004,0.004,0.004
XNOR2_X1N_A9PP84TL_C16,0.022,0.024,0.026
BUF_X6N_A9PP84TSL_C14,0.018,0.018,0.018
SDFFXRPQ_X1N_A9PP84TL_C14,0.030,0.0787,0.085
BUF_X5N_A9PP84TR_C14,0.011,0.021,0.026
NAND4XXXB_X1N_A9PP84TR_C16,0.046,0.0467,0.048
SDFFRPQ_X2N_A9PP84TL_C14,0.036,0.036,0.036
SDFFXRPQ_X1N_A9PP84TL_C16,0.050,0.05,0.050
INV_X28R_A9PP84TR_C14,0.004,0.004,0.004
BUF_X5N_A9PP84TR_C16,0.015,0.015,0.015
SDFFRPQ_X2N_A9PP84TL_C16,0.064,0.064,0.064
MXGL2_X2N_A9PP84TL_C16,0.014,0.0196,0.029
AOI21_X4N_A9PP84TR_C14,0.011,0.012,0.018
AOI21_X4N_A9PP84TR_C16,0.021,0.0426,0.054
OAI22_X3N_A9PP84TL_C14,0.014,0.014,0.014
AOI22_X3F_A9PP84TSL_C14,0.014,0.014,0.014
OAI211_X4N_A9PP84TSL_C14,0.013,0.0161,0.019
NAND3_X6R_A9PP84TL_C14,0.012,0.012,0.012
NAND3_X2N_A9PP84TSL_C14,0.019,0.0209,0.024
OAI21_X2N_A9PP84TR_C14,0.037,0.037,0.037
AOI22_X3F_A9PP84TR_C14,0.013,0.013,0.013
NOR2_X3F_A9PP84TSL_C14,0.006,0.0103,0.012
AOI22_X3F_A9PP84TR_C16,0.020,0.02,0.020
PREICG_X3R_A9PP84TL_C14,0.032,0.04,0.054
INV_X2F_A9PP84TSL_C14,0.005,0.0258,0.049
NAND4_X1P5R_A9PP84TSL_C14,0.010,0.0159,0.024
AOI31_X3N_A9PP84TSL_C14,0.012,0.012,0.012
PREICG_X3R_A9PP84TL_C16,0.036,0.0505,0.057
INV_X2F_A9PP84TSL_C16,0.007,0.007,0.007
PREICG_X16R_A9PP84TL_C14,0.014,0.00273,0.032
AOI211_X1P5N_A9PP84TSL_C14,0.010,0.0136,0.022
PREICG_X16R_A9PP84TL_C16,0.030,0.03,0.030
AOI22_X1N_A9PP84TSL_C14,0.011,0.0164,0.022
BUFH_X6N_A9PP84TR_C14,0.010,0.01,0.010
INV_X12R_A9PP84TR_C14,0.005,0.0065,0.008
BUFH_X6N_A9PP84TR_C16,0.013,0.013,0.013
INVP_X1N_A9PP84TSL_C16,0.031,0.031,0.031
NAND2_X6N_A9PP84TSL_C14,0.009,0.0131,0.018
INV_X12R_A9PP84TR_C16,0.006,0.009,0.011
INV_X5R_A9PP84TL_C14,0.006,0.007,0.008
OAI22_X1F_A9PP84TR_C16,0.008,0.0139,0.033
INV_X5R_A9PP84TL_C16,0.006,0.0104,0.016
SDFFXRPQ_X3N_A9PP84TR_C16,0.029,0.0594,0.079
NOR2_X2TN_A9PP84TSL_C14,0.005,0.0055,0.006
NOR3BB_X2N_A9PP84TSL_C14,0.017,0.0213,0.029
BUFH_X1N_A9PP84TR_C14,0.010,0.0168,0.031
OA21A1OI2_X3N_A9PP84TSL_C14,0.014,0.014,0.014
NOR2_X1N_A9PP84TSL_C14,0.009,0.0118,0.021
BUFH_X1N_A9PP84TR_C16,0.009,0.0258,0.070
NOR2_X1N_A9PP84TSL_C16,0.007,0.007,0.007
OA21A1OI2_X3N_A9PP84TSL_C16,0.009,0.0129,0.014
AO21A1AI2_X1N_A9PP84TL_C16,0.023,0.0265,0.030
AOI211_X2N_A9PP84TL_C14,0.019,0.019,0.019
OAI22_X4N_A9PP84TSL_C16,0.011,0.011,0.011
BUFH_X10N_A9PP84TL_C14,0.009,0.009,0.009
